Policy,Time Step,X,Y,Heading
random_walk,0,5,4,N
random_walk,1,5,5,S
random_walk,2,4,5,W
random_walk,3,3,5,W
random_walk,4,3,6,S
random_walk,5,3,5,N
random_walk,6,2,5,W
random_walk,7,2,6,S
random_walk,8,2,5,N
random_walk,9,2,4,N
random_walk,10,3,4,E
random_walk,11,3,5,S
random_walk,12,3,4,N
random_walk,13,2,4,W
random_walk,14,1,4,W
random_walk,15,2,4,E
random_walk,16,3,4,E
random_walk,17,2,4,W
random_walk,18,3,4,E
random_walk,19,4,4,E
random_walk,20,4,5,S
random_walk,21,4,6,S
random_walk,22,3,6,W
random_walk,23,3,5,N
random_walk,24,3,6,S
random_walk,25,3,5,N
random_walk,26,3,4,N
random_walk,27,3,3,N
random_walk,28,3,2,N
random_walk,29,2,2,W
random_walk,30,2,3,S
random_walk,31,1,3,W
random_walk,32,1,4,S
random_walk,33,1,5,S
random_walk,34,2,5,E
random_walk,35,1,5,W
random_walk,36,1,4,N
random_walk,37,0,4,W
random_walk,38,1,4,E
random_walk,39,1,3,N
random_walk,40,1,4,S
random_walk,41,0,4,W
random_walk,42,0,5,S
random_walk,43,1,5,E
random_walk,44,2,5,E
random_walk,45,1,5,W
random_walk,46,1,4,N
random_walk,47,0,4,W
random_walk,48,1,4,E
random_walk,49,1,3,N
straight_until_obstacle,0,5,3,N
straight_until_obstacle,1,5,2,N
straight_until_obstacle,2,5,1,N
straight_until_obstacle,3,5,0,N
straight_until_obstacle,4,5,0,N
straight_until_obstacle,5,5,0,N
straight_until_obstacle,6,6,0,E
straight_until_obstacle,7,7,0,E
straight_until_obstacle,8,8,0,E
straight_until_obstacle,9,9,0,E
straight_until_obstacle,10,9,1,S
straight_until_obstacle,11,9,2,S
straight_until_obstacle,12,9,3,S
straight_until_obstacle,13,9,4,S
straight_until_obstacle,14,9,5,S
straight_until_obstacle,15,9,6,S
straight_until_obstacle,16,9,7,S
straight_until_obstacle,17,9,8,S
straight_until_obstacle,18,9,9,S
straight_until_obstacle,19,8,9,W
straight_until_obstacle,20,7,9,W
straight_until_obstacle,21,6,9,W
straight_until_obstacle,22,5,9,W
straight_until_obstacle,23,4,9,W
straight_until_obstacle,24,3,9,W
straight_until_obstacle,25,2,9,W
straight_until_obstacle,26,1,9,W
straight_until_obstacle,27,0,9,W
straight_until_obstacle,28,0,9,S
straight_until_obstacle,29,0,8,N
straight_until_obstacle,30,0,7,N
straight_until_obstacle,31,0,6,N
straight_until_obstacle,32,0,5,N
straight_until_obstacle,33,0,4,N
straight_until_obstacle,34,0,3,N
straight_until_obstacle,35,0,2,N
straight_until_obstacle,36,0,1,N
straight_until_obstacle,37,0,0,N
straight_until_obstacle,38,0,0,N
straight_until_obstacle,39,1,0,E
straight_until_obstacle,40,2,0,E
straight_until_obstacle,41,3,0,E
straight_until_obstacle,42,4,0,E
straight_until_obstacle,43,5,0,E
straight_until_obstacle,44,6,0,E
straight_until_obstacle,45,7,0,E
straight_until_obstacle,46,8,0,E
straight_until_obstacle,47,9,0,E
straight_until_obstacle,48,9,0,N
straight_until_obstacle,49,9,0,N
