Policy,Time Step,X,Y,Heading
random_walk,0,6,5,E
random_walk,1,5,5,W
random_walk,2,5,6,S
random_walk,3,4,6,W
random_walk,4,3,6,W
random_walk,5,2,6,W
random_walk,6,3,6,E
random_walk,7,3,7,S
random_walk,8,3,6,N
random_walk,9,4,6,E
random_walk,10,4,7,S
random_walk,11,3,7,W
random_walk,12,2,7,W
random_walk,13,2,6,N
random_walk,14,3,6,E
random_walk,15,3,5,N
random_walk,16,3,6,S
random_walk,17,4,6,E
random_walk,18,4,5,N
random_walk,19,4,6,S
random_walk,20,3,6,W
random_walk,21,3,7,S
random_walk,22,4,7,E
random_walk,23,4,6,N
random_walk,24,4,5,N
random_walk,25,5,5,E
random_walk,26,5,4,N
random_walk,27,6,4,E
random_walk,28,6,5,S
random_walk,29,6,6,S
random_walk,30,7,6,E
random_walk,31,8,6,E
random_walk,32,8,5,N
random_walk,33,8,4,N
random_walk,34,8,3,N
random_walk,35,8,2,N
random_walk,36,8,1,N
random_walk,37,7,1,W
random_walk,38,7,2,S
random_walk,39,6,2,W
random_walk,40,5,2,W
random_walk,41,5,3,S
random_walk,42,4,3,W
random_walk,43,5,3,E
random_walk,44,4,3,W
random_walk,45,4,2,N
random_walk,46,4,3,S
random_walk,47,3,3,W
random_walk,48,2,3,W
random_walk,49,1,3,W
straight_until_obstacle,0,5,3,N
straight_until_obstacle,1,5,2,N
straight_until_obstacle,2,5,1,N
straight_until_obstacle,3,5,0,N
straight_until_obstacle,4,5,0,N
straight_until_obstacle,5,4,0,W
straight_until_obstacle,6,3,0,W
straight_until_obstacle,7,2,0,W
straight_until_obstacle,8,1,0,W
straight_until_obstacle,9,0,0,W
straight_until_obstacle,10,0,1,S
straight_until_obstacle,11,0,2,S
straight_until_obstacle,12,0,3,S
straight_until_obstacle,13,0,4,S
straight_until_obstacle,14,0,5,S
straight_until_obstacle,15,0,6,S
straight_until_obstacle,16,0,7,S
straight_until_obstacle,17,0,8,S
straight_until_obstacle,18,0,9,S
straight_until_obstacle,19,0,8,N
straight_until_obstacle,20,0,7,N
straight_until_obstacle,21,0,6,N
straight_until_obstacle,22,0,5,N
straight_until_obstacle,23,0,4,N
straight_until_obstacle,24,0,3,N
straight_until_obstacle,25,0,2,N
straight_until_obstacle,26,0,1,N
straight_until_obstacle,27,0,0,N
straight_until_obstacle,28,0,0,N
straight_until_obstacle,29,1,0,E
straight_until_obstacle,30,2,0,E
straight_until_obstacle,31,3,0,E
straight_until_obstacle,32,4,0,E
straight_until_obstacle,33,5,0,E
straight_until_obstacle,34,6,0,E
straight_until_obstacle,35,7,0,E
straight_until_obstacle,36,8,0,E
straight_until_obstacle,37,9,0,E
straight_until_obstacle,38,9,1,S
straight_until_obstacle,39,9,2,S
straight_until_obstacle,40,9,3,S
straight_until_obstacle,41,9,4,S
straight_until_obstacle,42,9,5,S
straight_until_obstacle,43,9,6,S
straight_until_obstacle,44,9,7,S
straight_until_obstacle,45,9,8,S
straight_until_obstacle,46,9,9,S
straight_until_obstacle,47,9,8,N
straight_until_obstacle,48,9,7,N
straight_until_obstacle,49,9,6,N
